id,category,hook,status,posted_date,views,likes,saves,comments,rating
A01,あるある,師長にAIで見せたら黙った,posted,2026-02-21,,,,,
A02,あるある,夜勤明けの顔をAIに何歳,posted,2026-02-21,,,,,
